i	Energy (cm-1)	gi	J	Uncertainty (cm-1)	Total_Parity	e/f	State	v	Λ	Σ	Ω	Label	Calc
1267	32962.442147	30	7	1.660000	+	f	A1Pi	11	1	0	1	Ca	32962.442147
1268	32962.968671	30	7	1.660000	-	e	A1Pi	11	1	0	1	Ca	32962.968671
1269	32964.099333	6	1	1.220000	+	f	A1Pi	12	1	0	1	Ca	32964.099333
1270	32964.108933	6	1	1.220000	-	e	A1Pi	12	1	0	1	Ca	32964.108933
1271	32969.031506	10	2	1.260000	-	f	A1Pi	12	1	0	1	Ca	32969.031506
1272	32969.060307	10	2	1.260000	+	e	A1Pi	12	1	0	1	Ca	32969.060307
1273	32970.768547	46	11	2.320000	-	e	X1Sigma+	20	0	0	0	Ca	32970.768547
1274	32974.632195	66	16	3.520000	-	f	A1Pi	8	1	0	1	Ca	32974.632195
1275	32976.163823	14	3	1.320000	+	f	A1Pi	12	1	0	1	Ca	32976.163823
1276	32976.221425	14	3	1.320000	-	e	A1Pi	12	1	0	1	Ca	32976.221425
1277	32980.494711	66	16	3.520000	+	e	A1Pi	8	1	0	1	Ca	32980.494711
1278	32985.159021	18	4	1.400000	-	f	A1Pi	12	1	0	1	Ca	32985.159021
1279	32985.255024	18	4	1.400000	+	e	A1Pi	12	1	0	1	Ca	32985.255024
1280	32987.433541	34	8	1.820000	-	f	A1Pi	11	1	0	1	Ca	32987.433541
1281	32988.110500	34	8	1.820000	+	e	A1Pi	11	1	0	1	Ca	32988.110500
1282	32988.860091	58	14	3.050000	+	e	X1Sigma+	19	0	0	0	Ca	32988.860091
1283	32988.887264	46	11	2.320000	+	f	A1Pi	10	1	0	1	Ca	32988.887264
1284	32990.760060	46	11	2.320000	-	e	A1Pi	10	1	0	1	Ca	32990.760060
1285	32995.528149	22	5	1.500000	+	f	A1Pi	12	1	0	1	Ca	32995.528149
